# F_MHZ    R_N    B_OPT    G_OPT    T_MIN
4.725000000000000000e+01 3.360189901018220837e+01 2.271685678345880565e-04 1.482096545789284014e-02 4.575557737015249131e+02
4.753749999999999432e+01 3.221270562049802066e+01 3.827833107134515881e-04 1.504318165561668169e-02 4.279266351821527223e+02
4.782500000000000284e+01 3.375133046183971430e+01 3.173951779010719589e-04 1.484013625488607435e-02 4.526504034121618361e+02
4.811249999999999716e+01 3.369606567239497252e+01 1.406271085606830334e-04 1.493591629068845988e-02 4.632484777662964461e+02
4.839999999999999858e+01 3.403991365048015183e+01 4.114830650747582216e-04 1.489186951723503113e-02 4.616690256858433372e+02
4.868750000000000000e+01 3.342164147806891350e+01 5.307378349648960358e-04 1.483333860256502712e-02 4.516925406943187795e+02
4.897499999999999432e+01 3.336802002113060439e+01 3.341491420391901990e-04 1.479587827979124588e-02 4.461257622813245689e+02
4.926250000000000284e+01 3.354973991569760727e+01 2.506149206426966499e-04 1.485331345691180693e-02 4.515378863774186584e+02
4.954999999999999716e+01 3.302354153388712632e+01 6.291894484200213260e-05 1.487832061636063831e-02 4.299605369566916124e+02
4.983749999999999858e+01 3.376117699223999580e+01 1.332085305258194044e-04 1.487851160200782431e-02 4.514994895335692036e+02
5.012500000000000000e+01 3.419276439452797689e+01 1.551564129119285156e-04 1.488552228343491962e-02 4.572543916365798395e+02
5.041249999999999432e+01 3.324209720334859952e+01 3.685755978836849985e-04 1.473681256158282035e-02 4.324481696928248198e+02
5.070000000000000284e+01 3.484246776083331554e+01 2.219551520248954106e-04 1.477186516832370775e-02 4.682125126458577711e+02
5.098749999999999716e+01 3.360940766796286994e+01 3.535785155727818501e-04 1.485778263448453602e-02 4.340405458153580298e+02
5.127499999999999858e+01 3.427428496371231859e+01 7.570096633802140538e-07 1.475449082953833591e-02 4.623575650837830153e+02
5.156250000000000000e+01 3.349776717560512651e+01 3.105418906397664804e-04 1.485154521843725338e-02 4.476967457758852333e+02
5.184999999999999432e+01 3.463358215487759395e+01 1.743644992660571395e-04 1.492126575772564391e-02 4.651215618074342046e+02
5.213750000000000284e+01 3.427594868602633227e+01 4.296414085140242865e-04 1.468738803196903593e-02 4.680638576531893023e+02
5.242499999999999716e+01 3.423037127042636030e+01 -3.392958915672821836e-05 1.464769293471001460e-02 4.517484936574346079e+02
5.271249999999999858e+01 3.420423815339987783e+01 2.291603864333559444e-04 1.486003272303089255e-02 4.541217046335944474e+02
5.300000000000000000e+01 3.545875593723648223e+01 -1.449427253256307566e-04 1.455072928638283768e-02 4.740440734397282085e+02
5.328749999999999432e+01 3.362896240462001174e+01 8.652954140795778384e-05 1.485772669307970986e-02 4.518291973544506845e+02
5.357500000000000284e+01 3.389249053824570979e+01 3.990974375388795349e-04 1.480537957322522816e-02 4.588490091782044829e+02
5.386249999999999716e+01 3.513120195623329067e+01 -8.174788097750531734e-05 1.459548887014676388e-02 4.766282838235502481e+02
5.414999999999999858e+01 3.557506726589769386e+01 9.619996483680049316e-05 1.457923873055966268e-02 4.802312574842953268e+02
5.443750000000000000e+01 3.450916494331671203e+01 1.425720884054455242e-04 1.457600283500245023e-02 4.605403080039054089e+02
5.472499999999999432e+01 3.583085625367633753e+01 -5.886090939533463254e-05 1.446156506179164213e-02 4.661131245596009762e+02
5.501250000000000284e+01 3.523238808749667328e+01 -2.314509403781246416e-04 1.441644059542793697e-02 4.564926384044208589e+02
5.529999999999999716e+01 3.577107643471129705e+01 -1.854391169723455443e-04 1.448353557018438459e-02 4.696055265461562271e+02
5.558749999999999858e+01 3.589235732425402858e+01 -1.038053700876339323e-04 1.456081791309037261e-02 4.870816378780705236e+02
5.587500000000000000e+01 3.569706378261127355e+01 -1.812869477377463128e-04 1.444747004200264140e-02 4.722848908911871035e+02
5.616249999999999432e+01 3.495455310256126324e+01 -1.460849889029098561e-04 1.450077811732521788e-02 4.528112496706839920e+02
5.645000000000000284e+01 3.584531507508770432e+01 1.180038289139304845e-04 1.448949641383183093e-02 4.759092066926393159e+02
5.673749999999999716e+01 3.535300873243211583e+01 1.347948806169710378e-04 1.442248957196713005e-02 4.569828637624926841e+02
5.702499999999999858e+01 3.629317689783979262e+01 3.809868337608084064e-06 1.447499754370925457e-02 4.855007171352293653e+02
5.731250000000000000e+01 3.574114504056193198e+01 -2.725162265975937612e-04 1.443495781551813566e-02 4.642726562555985197e+02
5.759999999999999432e+01 3.665410537405341529e+01 -2.612367189968784506e-04 1.435652057803266622e-02 4.871329664103486152e+02
5.788750000000000284e+01 3.587763519473307383e+01 1.435035128740593142e-04 1.450611969637612131e-02 4.726361192912052047e+02
5.817499999999999716e+01 3.627405793970025627e+01 -2.917995010345362638e-04 1.435489964850621136e-02 4.747117779882598825e+02
5.846249999999999858e+01 3.672225500764700001e+01 -4.068018848993422616e-04 1.433434378959561571e-02 4.908551912139627120e+02
5.875000000000000000e+01 3.644225200641785989e+01 -1.919945681117220726e-04 1.435613634882806737e-02 4.879267699826491480e+02
5.903749999999999432e+01 3.602015780923757404e+01 -3.284003488184665835e-04 1.446212839146701450e-02 4.721955812303824018e+02
5.932500000000000284e+01 3.641722172773670252e+01 -5.522054560374311822e-04 1.443436507225655772e-02 4.757932414248658120e+02
5.961249999999999716e+01 3.643028808173097843e+01 -3.136555567349457200e-04 1.443639685855865537e-02 4.892530067469107848e+02
5.989999999999999858e+01 3.608064198784069276e+01 -3.627961112395670647e-04 1.441179724979732221e-02 4.803508459035114697e+02
6.018750000000000000e+01 3.598409714230815126e+01 -1.736285170078266584e-04 1.449712864480501469e-02 4.717863048721085875e+02
6.047499999999999432e+01 3.662663843553981735e+01 -4.962832561232752900e-04 1.444010161851583436e-02 4.866385154392630170e+02
6.076250000000000284e+01 3.597478202886248511e+01 -3.206967490806472633e-04 1.458266585037753561e-02 4.810355587087126992e+02
6.104999999999999716e+01 3.595152946983570530e+01 -2.755429896603086583e-04 1.450274479067910349e-02 4.782737062110159059e+02
6.133749999999999858e+01 3.665799413342737978e+01 -3.627485709032070640e-04 1.454262874931074902e-02 5.002808666192589726e+02
6.162500000000000000e+01 3.639341920544978137e+01 -4.354875832455769162e-04 1.448669387463201105e-02 4.897043709590074059e+02
6.191249999999999432e+01 3.682588767711472855e+01 -4.038211130021004697e-04 1.457121370250972527e-02 4.979564487923245792e+02
6.219999999999999574e+01 3.625403821407665816e+01 -3.336009006588326479e-04 1.471866827058286240e-02 4.980979643762306068e+02
6.248749999999999716e+01 3.560282507113883099e+01 -2.336872048988192392e-04 1.466803081766044140e-02 4.702383446354823491e+02
6.277499999999999858e+01 3.551373939851789885e+01 -3.964823911673115713e-04 1.465217624026619175e-02 4.762929131066973127e+02
6.306250000000000000e+01 3.632284373749987338e+01 -2.340210227286434043e-04 1.459227584968173126e-02 4.984334597713688595e+02
6.334999999999999432e+01 3.473088486994538471e+01 3.945113481632783905e-05 1.490817987185892590e-02 4.792851532294079107e+02
6.363749999999999574e+01 3.642040276106005336e+01 -2.790919581891012258e-04 1.478099767412651040e-02 5.101567598480959305e+02
6.392499999999999716e+01 3.609156986598861749e+01 -3.353419999665459956e-04 1.482882548861895293e-02 5.049165480693126256e+02
6.421250000000000568e+01 3.540230188816768475e+01 -2.677752593130670487e-04 1.503474509324806245e-02 4.907861147811192950e+02
6.450000000000000000e+01 3.596245877356171405e+01 -2.733207409064618526e-04 1.475897869912454717e-02 4.936644174176171873e+02
6.478749999999999432e+01 3.568120729257984181e+01 -2.991825393787984574e-04 1.482517901927849456e-02 4.873072265409974761e+02
6.507499999999998863e+01 3.535870932312108295e+01 -2.525050651553255071e-04 1.501013690663922234e-02 4.944789485716477202e+02
6.536249999999999716e+01 3.522558288520994552e+01 -3.748226828880317366e-04 1.494916575151716137e-02 4.923761608933189109e+02
6.565000000000000568e+01 3.549215127112834978e+01 -3.498154529732794477e-04 1.494973545434633531e-02 4.908634895848011865e+02
6.593750000000000000e+01 3.527586110029146482e+01 -1.270158018438217985e-04 1.527791532857835158e-02 5.123357161603228178e+02
6.622499999999999432e+01 3.528434624556183508e+01 -2.450326546099276868e-04 1.509534792890077429e-02 5.091027755786531657e+02
6.651249999999998863e+01 3.568124427197911075e+01 -4.021630446327249570e-04 1.519304270808823944e-02 5.097962111405075234e+02
6.679999999999999716e+01 3.516258698305317409e+01 -1.247642631867153142e-04 1.538139659426576017e-02 5.020882516507558080e+02
6.708750000000000568e+01 3.543635374734231647e+01 -1.120426382624263459e-04 1.527780890250926560e-02 5.136456378530448319e+02
6.737500000000000000e+01 3.636844924673017942e+01 -2.452897801633448856e-04 1.511175297506636359e-02 5.146939881688206242e+02
6.766249999999999432e+01 3.560868254076209638e+01 -1.001273943646831878e-05 1.528561995622087534e-02 5.022390412508819963e+02
6.794999999999998863e+01 3.605806990088957775e+01 -2.077573048204257465e-04 1.525529134502055795e-02 5.041222346641766308e+02
6.823749999999999716e+01 3.574104071922868542e+01 -7.426591073135921817e-05 1.530383569481496599e-02 4.964046872347353769e+02
6.852500000000000568e+01 3.563870008555151969e+01 -1.040540333506826656e-04 1.537512858820943608e-02 5.045790834387015593e+02
6.881250000000000000e+01 3.593314195014156809e+01 -5.110405133336022148e-05 1.547555726030580732e-02 5.117860218303779334e+02
6.909999999999999432e+01 3.576711268994453263e+01 -1.267391380313227615e-04 1.524691841128124857e-02 5.061979718019475172e+02
6.938749999999998863e+01 3.600808259160709213e+01 -2.746825417952203317e-05 1.521792964784331702e-02 5.073476141344543748e+02
6.967499999999999716e+01 3.576289483545379255e+01 -1.092829124554506082e-04 1.535541351274955814e-02 5.195460762319883088e+02
6.996250000000000568e+01 3.592986702691620593e+01 -8.690312501743370651e-05 1.538935132445297567e-02 5.090576218047752377e+02
7.025000000000000000e+01 3.717010905139694188e+01 -3.958882623982833333e-05 1.533365506824858719e-02 5.403363889481327078e+02
7.053749999999999432e+01 3.612609346047244685e+01 -1.188155325888642289e-05 1.533064017754482734e-02 4.972427145524960110e+02
7.082499999999998863e+01 3.600234724254568164e+01 2.152948181922671820e-04 1.543918949980097911e-02 5.165014673253988349e+02
7.111249999999999716e+01 3.676509785319039736e+01 6.313364762881630446e-05 1.539895549143101457e-02 5.228144890030483793e+02
7.140000000000000568e+01 3.682609626680813619e+01 6.354593574618801666e-05 1.524811987020363580e-02 5.174919600975729281e+02
7.168750000000000000e+01 3.605410311161424630e+01 1.106170226100867374e-04 1.527661865988743685e-02 5.138189309592031577e+02
7.197499999999999432e+01 3.726983110146052525e+01 2.394621805632450660e-04 1.541448170246385863e-02 5.387265689620375042e+02
7.226249999999998863e+01 3.702659549677941442e+01 3.070588640169082855e-04 1.535252431954112554e-02 5.292380777525914937e+02
7.254999999999999716e+01 3.724423796988708091e+01 2.292118624275666966e-04 1.552557252824348852e-02 5.453021000345004268e+02
7.283750000000000568e+01 3.722242009123555562e+01 2.509828739324395080e-04 1.550156159822588427e-02 5.393581623515716501e+02
7.312500000000000000e+01 3.677963706373236619e+01 4.883478085083370812e-04 1.550904229311476749e-02 5.459204311682850630e+02
7.341249999999999432e+01 3.775235896721582662e+01 4.645354502505509510e-04 1.526784880696958370e-02 5.391490649259335441e+02
7.369999999999998863e+01 3.790651088989005757e+01 3.353638756917303723e-04 1.536500451545085369e-02 5.399535130477971734e+02
7.398749999999999716e+01 3.819474979200465015e+01 3.181032605773458067e-04 1.527041400028567725e-02 5.550878368260868001e+02
7.427500000000000568e+01 3.658470566646904842e+01 4.187685078958042705e-04 1.563266408352235667e-02 5.432768298991434222e+02
7.456250000000000000e+01 3.730666120619607540e+01 2.159262836988350598e-04 1.535102771501588477e-02 5.214723098718480969e+02
7.484999999999999432e+01 3.730973092690715021e+01 4.156267791430248324e-04 1.524737711835579164e-02 5.154021771047935090e+02
7.513749999999998863e+01 3.864652709149181931e+01 5.583285922949448319e-04 1.525590071297274440e-02 5.557950890799377248e+02
7.542499999999999716e+01 3.846375299529714908e+01 3.283542162147631014e-04 1.550179449607264753e-02 5.605994955598615661e+02
7.571250000000000568e+01 3.737220245178862399e+01 3.604107949782806605e-04 1.536886489661070006e-02 5.435901161375722950e+02
7.600000000000000000e+01 3.798785647767983420e+01 4.269209759606393023e-04 1.530941120949356853e-02 5.364046483699801229e+02
7.628749999999999432e+01 3.875332872171522780e+01 4.541770645886802687e-04 1.542325685630303693e-02 5.675133910236236261e+02
