F/MHz,dB (255b),deg (255b)
20,-22.50169069,64.12218053
20.200401,-22.56660739,61.81365499
20.400802,-22.75572955,57.68009608
20.601202,-22.7305524,55.29817793
20.801603,-22.71933517,51.7651007
21.002004,-22.70196703,48.30619277
21.202405,-22.77232406,45.52267541
21.402806,-22.83066888,41.72471782
21.603206,-22.94951359,39.37302619
21.803607,-22.86464885,35.08603111
22.004008,-22.71746587,32.45060116
22.204409,-22.86538348,28.58883702
22.40481,-22.78010277,24.50956007
22.60521,-22.7710659,20.46429788
22.805611,-22.80140842,16.3359391
23.006012,-22.62369428,13.54009777
23.206413,-22.66711191,9.334277622
23.406814,-22.6021543,3.557142112
23.607214,-22.51838379,-0.465850893
23.807615,-22.35369533,-4.469873504
24.008016,-22.23329322,-10.15474514
24.208417,-22.09552685,-14.00139545
24.408818,-21.90759309,-19.49410007
24.609218,-21.78297494,-24.9853409
24.809619,-21.65766509,-29.12445682
25.01002,-21.4795737,-35.29573435
25.210421,-21.29385201,-40.19211482
25.410822,-21.05591285,-46.59119313
25.611222,-20.97309293,-51.60171864
25.811623,-20.71286893,-57.52934697
26.012024,-20.51398453,-64.26843958
26.212425,-20.39076448,-70.89131015
26.412826,-20.35004939,-77.55052916
26.613226,-20.2861698,-85.10104352
26.813627,-20.33977485,-92.98396775
27.014028,-20.39979154,-99.94938983
27.214429,-20.54349152,-107.0456532
27.41483,-20.78547344,-114.9779119
27.61523,-21.16310918,-122.0962966
27.815631,-21.47875455,-129.4841252
28.016032,-22.03680762,-136.2520969
28.216433,-22.51496914,-142.9728442
28.416834,-23.40890675,-147.9021969
28.617234,-23.97082579,-153.0304955
28.817635,-24.78880896,-158.3115122
29.018036,-25.49965896,-160.5066885
29.218437,-26.5907387,-163.8811571
29.418838,-27.23824533,-167.2116431
29.619238,-28.12870541,-167.835084
29.819639,-28.54673289,-168.3684333
30.02004,-29.64692438,-168.9728436
30.220441,-30.20815322,-169.4031004
30.420842,-30.72814375,-167.2836915
30.621242,-31.47415593,-164.4886715
30.821643,-32.05028577,-163.5295208
31.022044,-32.10798141,-162.6255175
31.222445,-32.30763455,-156.8487699
31.422846,-32.2269574,-157.1424972
31.623246,-32.68966005,-155.1431023
31.823647,-32.34905419,-147.7511167
32.024048,-32.6759778,-148.7814972
32.224449,-32.63707265,-151.179215
32.42485,-32.34835282,-149.7038556
32.625251,-32.23891951,-150.5429717
32.825651,-31.76870861,-149.0938839
33.026052,-31.37819302,-149.2389628
33.226453,-31.33817306,-147.7917521
33.426854,-31.68669782,-149.2121023
33.627255,-30.75180506,-148.3939225
33.827655,-31.18981856,-150.402627
34.028056,-31.20985648,-152.2887103
34.228457,-30.7378773,-150.0055247
34.428858,-30.98300161,-150.5446209
34.629259,-30.73728524,-151.3979065
34.829659,-30.71214478,-149.9584203
35.03006,-30.96326532,-155.1889282
35.230461,-30.72474054,-155.1490226
35.430862,-30.88035704,-153.5042028
35.631263,-30.77653964,-154.849903
35.831663,-30.90766071,-155.218978
36.032064,-30.50241133,-154.7969334
36.232465,-30.66681404,-157.4745533
36.432866,-30.78825171,-155.930415
36.633267,-30.24606523,-158.21273
36.833667,-30.58055099,-159.5698356
37.034068,-30.53484698,-158.7591867
37.234469,-30.60131674,-158.299763
37.43487,-30.54053611,-158.5769965
37.635271,-30.44510803,-159.290489
37.835671,-30.4301614,-158.2855986
38.036072,-30.61926239,-157.2061934
38.236473,-30.12063988,-160.8657224
38.436874,-30.76034576,-159.8780094
38.637275,-30.44683067,-160.5047279
38.837675,-30.4192633,-162.6206441
39.038076,-30.46003735,-161.0594928
39.238477,-30.44614923,-162.2051565
39.438878,-30.45236296,-160.9176491
39.639279,-30.51345029,-162.04707
39.839679,-30.64819436,-161.3002113
40.04008,-30.4621542,-160.2720978
40.240481,-30.55358227,-161.3018889
40.440882,-30.7294555,-162.1162651
40.641283,-30.40589384,-160.3804119
40.841683,-30.57368409,-160.062099
41.042084,-30.24818218,-161.0381659
41.242485,-30.29912908,-161.6375011
41.442886,-30.27390828,-160.9389533
41.643287,-30.27290345,-162.1718894
41.843687,-30.19272626,-162.5486934
42.044088,-30.35672039,-162.0369314
42.244489,-30.39345798,-162.4675564
42.44489,-29.94386278,-163.9452231
42.645291,-30.14057908,-165.8224855
42.845691,-30.07897082,-163.8211918
43.046092,-29.75344972,-164.2892773
43.246493,-30.13551591,-164.3723957
43.446894,-30.02044354,-164.3841732
43.647295,-29.76189166,-163.9404886
43.847695,-29.58025866,-165.2063491
44.048096,-29.64252682,-166.4093277
44.248497,-29.81381734,-166.045691
44.448898,-29.77911899,-165.2162335
44.649299,-29.45347144,-166.1013131
44.849699,-29.3050845,-166.5509121
45.0501,-29.6084566,-167.0875232
45.250501,-29.34098717,-166.9368415
45.450902,-29.40934838,-167.9340704
45.651303,-29.1311598,-168.8641658
45.851703,-29.17813871,-169.4261497
46.052104,-29.35936577,-169.3253201
46.252505,-29.28907926,-171.0473601
46.452906,-29.01465408,-171.4890994
