F/MHz,dB (256b),deg (256b)
20,-21.22172718,48.13752878
20.200401,-21.18548076,45.15442257
20.400802,-21.0325991,43.37081604
20.601202,-20.93710023,40.5216366
20.801603,-20.92170553,37.34288305
21.002004,-20.91263782,35.48968855
21.202405,-20.87234885,32.42641054
21.402806,-20.94141505,30.00800471
21.603206,-20.66599165,28.13737508
21.803607,-20.712991,24.41070744
22.004008,-20.67764849,22.19776359
22.204409,-20.54796725,19.44394688
22.40481,-20.38623775,16.02959773
22.60521,-20.28552132,13.5521052
22.805611,-20.22394396,10.31318237
23.006012,-20.26239958,7.403282656
23.206413,-20.19011817,4.394263757
23.406814,-20.06492528,1.017520855
23.607214,-19.96701425,-1.969967404
23.807615,-19.85724749,-6.066761335
24.008016,-19.86844101,-9.475728991
24.208417,-19.76265766,-12.41051258
24.408818,-19.74589607,-16.67038159
24.609218,-19.47034833,-20.59767662
24.809619,-19.51919533,-24.56988642
25.01002,-19.46641584,-29.03451028
25.210421,-19.40962193,-32.69498245
25.410822,-19.41079077,-37.72904532
25.611222,-19.44285182,-42.79695416
25.811623,-19.36103175,-48.08337341
26.012024,-19.23715802,-52.4680537
26.212425,-19.40649254,-58.57464199
26.412826,-19.45068139,-63.86323279
26.613226,-19.49449467,-70.13479226
26.813627,-19.84149368,-76.84097255
27.014028,-20.10842523,-83.00957838
27.214429,-20.46479845,-90.2013385
27.41483,-20.8473822,-97.75385883
27.61523,-21.43441409,-103.5242347
27.815631,-21.9806681,-110.6986869
28.016032,-22.72880595,-117.8588083
28.216433,-23.53625304,-124.3783626
28.416834,-24.34527525,-130.1939174
28.617234,-25.31256413,-135.6399193
28.817635,-26.45878357,-141.7176521
29.018036,-27.67215727,-145.6664582
29.218437,-29.01080367,-150.6500358
29.418838,-30.40218016,-151.7055759
29.619238,-31.62116451,-157.9454494
29.819639,-32.8746474,-158.6922304
30.02004,-34.54767077,-158.1447149
30.220441,-36.90890903,-157.9130284
30.420842,-38.4378097,-153.609825
30.621242,-41.18579107,-151.3879817
30.821643,-41.85284291,-142.5021266
31.022044,-43.2471384,-135.9742935
31.222445,-44.40972344,-126.132566
31.422846,-44.87564505,-105.6546646
31.623246,-42.70454742,-107.3575772
31.823647,-42.78626144,-89.40266377
32.024048,-43.16825801,-83.14149264
32.224449,-40.16493996,-81.52931145
32.42485,-40.61512365,-82.22420929
32.625251,-40.31795876,-90.02451036
32.825651,-39.28536418,-82.17011947
33.026052,-39.68748021,-83.4533627
33.226453,-39.98720068,-82.52239693
33.426854,-39.00010695,-86.03895567
33.627255,-39.31140654,-81.52162406
33.827655,-39.05269871,-82.56387484
34.028056,-38.49436098,-86.5877162
34.228457,-38.70878002,-88.01550213
34.428858,-38.75020094,-89.05440507
34.629259,-39.01691084,-88.4534405
34.829659,-38.98306854,-98.71459846
35.03006,-37.89684495,-94.21949935
35.230461,-39.20373228,-97.52201443
35.430862,-39.59040506,-102.0027677
35.631263,-39.50246789,-96.49759384
35.831663,-39.57468117,-98.30770488
36.032064,-38.80818381,-98.72931438
36.232465,-39.45370516,-97.60058517
36.432866,-39.348513,-98.69731714
36.633267,-39.13446706,-96.3415328
36.833667,-40.05012842,-100.2491792
37.034068,-39.9537015,-96.22568659
37.234469,-39.78125413,-95.64786543
37.43487,-41.1363925,-96.8657904
37.635271,-39.62797885,-104.5441232
37.835671,-39.92941806,-98.07661984
38.036072,-39.77942816,-98.85174233
38.236473,-40.66903998,-98.31950086
38.436874,-40.89735327,-102.8818785
38.637275,-39.70744476,-101.5646219
38.837675,-39.29549012,-104.591853
39.038076,-40.31629103,-97.45358617
39.238477,-40.75725497,-99.39168205
39.438878,-39.58775618,-95.38238379
39.639279,-39.39396093,-98.92603862
39.839679,-39.59580313,-103.724964
40.04008,-39.34741477,-102.4841838
40.240481,-40.3689429,-101.0117308
40.440882,-40.83231993,-101.869321
40.641283,-40.18406682,-95.99812138
40.841683,-41.33774726,-101.0310717
41.042084,-39.36061909,-106.0816812
41.242485,-38.67266083,-101.7501898
41.442886,-39.20545421,-104.9120275
41.643287,-39.54026447,-103.9809313
41.843687,-39.5101064,-103.9521893
42.044088,-39.43597132,-103.0676935
42.244489,-39.00347981,-109.1985706
42.44489,-39.80922284,-107.1859169
42.645291,-39.18907746,-112.7032113
42.845691,-39.27145113,-104.6745065
43.046092,-39.6937117,-109.3488826
43.246493,-38.59702995,-111.2045199
43.446894,-39.22967902,-112.8894336
43.647295,-39.2592262,-113.1502708
43.847695,-38.0726141,-112.749928
44.048096,-38.95249705,-116.879045
44.248497,-38.33101777,-117.7829906
44.448898,-38.85296892,-120.0381952
44.649299,-38.19135535,-120.8656831
44.849699,-38.85047119,-120.3780698
45.0501,-37.51922502,-121.5264241
45.250501,-37.72542641,-118.72646
45.450902,-38.72614341,-124.6871106
45.651303,-38.63767042,-127.6093712
45.851703,-38.50748581,-128.0461858
46.052104,-38.4889586,-126.5679921
46.252505,-39.04379184,-129.4732721
46.452906,-39.61548,-127.8924055
46.653307,-38.19609528,-131.0347565
46.853707,-38.10209555,-133.8285775
47.054108,-38.16182899,-135.5198845
47.254509,-38.73313488,-134.8149948
47.45491,-37.36191986,-143.6680048
47.655311,-38.92896276,-146.310091
47.855711,-38.36801863,-144.8559003
48.056112,-37.9081087,-148.7453014
48.256513,-38.48101348,-149.2152676
48.456914,-37.93053071,-152.6847112
48.657315,-37.85492098,-150.2177669
48.857715,-38.94837025,-155.7552452
49.058116,-38.55095978,-159.4042817
49.258517,-38.61402647,-157.7079806
49.458918,-38.18386869,-159.5248984
49.659319,-38.31640432,-159.3152439
49.859719,-38.20417549,-165.5120052
50.06012,-38.55453555,-164.4641328
50.260521,-38.48165064,-160.8249588
50.460922,-39.24844121,-173.4621166
50.661323,-39.16079294,-169.930592
50.861723,-38.47668694,-172.8069611
51.062124,-38.3595382,-173.1962318
51.262525,-38.04135576,-176.56485
51.462926,-38.8623499,-177.5969553
51.663327,-39.53468928,179.5663029
51.863727,-38.36572989,-179.5370906
52.064128,-39.37572135,175.1859336
52.264529,-39.40081017,-178.7524675
52.46493,-38.9824988,168.8953099
52.665331,-39.03257985,167.886602
52.865731,-39.71858212,174.7445483
53.066132,-39.7456631,171.8467419
53.266533,-38.73386238,167.3243369
53.466934,-39.68012267,165.6916849
