F/MHz,dB (252a),deg (252a),dB (252b),deg (252b),dB (254a),deg (254a),dB (254b),deg (254b),dB (255a),deg (255a),dB (255b),deg (255b),dB (256b),deg (256b)
26.012024,-20.4826145071911,-47.9865419143492,-18.4472809466456,-50.5576312948502,-17.7551683545502,-38.9671938660079,-19.4453605847225,-42.3178869466475,-19.019255552103,-51.7152989671248,-20.5139845327743,-64.2684395811261,-19.237158020153,-52.4680537004142
26.212425,-20.284895320185,-52.8384254369758,-18.6020594635486,-55.2071161576116,-17.7810517379126,-43.3277689387117,-19.4909806156988,-47.1231033456833,-18.9918057975957,-56.4151209085313,-20.3907644790096,-70.8913101483432,-19.4064925352452,-58.5746419928316
26.412826,-20.3227305843807,-58.13098987201,-18.688352065376,-60.8602824687898,-17.9861532659556,-47.7562053198855,-19.4804366470985,-52.3497467476983,-19.0382881093542,-62.1981385417192,-20.3500493882555,-77.5505291607632,-19.4506813935738,-63.8632327887172
26.613226,-20.2646023999318,-64.8935815996745,-18.8468412697292,-65.559377652239,-18.0909059955683,-53.4172973932398,-19.5908270358617,-58.024002339411,-19.1228686636138,-67.4680593956006,-20.2861698043436,-85.1010435204109,-19.4944946745767,-70.1347922563366
26.813627,-20.1716031996758,-70.9651239012159,-19.0750227925638,-71.6522791840509,-18.3868027948621,-58.4747354758048,-19.7176579460261,-64.1976801582691,-19.2407675271681,-73.3651419756657,-20.339774853325,-92.983967745778,-19.8414936796169,-76.8409725484423
27.014028,-20.2372589250389,-77.0388461733569,-19.2988138754281,-77.1090282326188,-18.7822532193213,-63.9616571462478,-19.9132691872174,-69.2217240093438,-19.4868022783612,-79.6960782874813,-20.3997915363583,-99.9493898262029,-20.1084252291994,-83.0095783810973
27.214429,-20.2303901486346,-84.1482350689454,-19.6122000750813,-83.0968261198923,-19.1685847340744,-69.7814940554898,-20.1540294994733,-74.9712489673595,-19.703383385726,-85.6863885248276,-20.5434915168999,-107.045653195227,-20.4647984522359,-90.2013385039313
27.41483,-20.3697242155735,-90.5744518640015,-20.1036782111571,-89.9671025552512,-19.7152076188304,-75.3295691297536,-20.4805896939192,-80.3499935714301,-20.0381778448316,-92.1620868293463,-20.7854734404104,-114.977911917298,-20.8473822012425,-97.7538588277975
27.61523,-20.5047023092273,-97.6918226065992,-20.4980183048076,-95.3361791164858,-20.4303410026048,-80.4791847838726,-20.9386680449376,-87.1761580668686,-20.3807615902151,-98.444964441514,-21.1631091831487,-122.096296574983,-21.4344140877232,-103.52423469879
27.815631,-20.6936630669608,-105.040464022958,-21.1656528346361,-102.368391082891,-21.2804402846072,-85.4748033004365,-21.4245338987419,-92.7970962315885,-20.8810877786666,-104.700590333816,-21.4787545453289,-129.484125178744,-21.9806680966764,-110.698686869978
