LEDA 18May cable calibration by E. Tong. 05/31/18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Measurements made using standards comprising SHORT, OPEN, and 50Ω (actual 50.95Ω), via a MS147 jack.  Cable data include the push-on female jack.  S22 (jack end) is worse than the S11 (SMA(f) end). Field loads are measured to be 19.6, 62.8 and 194.7Ω.  A priori values were 19.49, 49.99, and 194.65Ω.  Solder cracks formed during transport.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,7 dB attenuator (BW3),,SMA(m) barrel,,,,,,,,,,,,,
Frequency,S21,,S21,,S11,,,,,,,,,,,
(MHz),(dB),(°),(dB),(°),(dB),(°),,,,,,,,,,
39.7,-6.978741254,-1.2295996,-0.008401592,-1.0999778, < -50,--,,,,,,,,,,
40.195,-6.982118251,-1.2324535,-0.01133548,-1.1129257, < -50,--,,,,,,,,,,
40.69,-6.978130009,-1.2759313,-0.014335857,-1.1411526, < -50,--,,,,,,,,,,
41.185,-6.982081572,-1.2763968,-0.011668741,-1.1252294, < -50,--,,,,,,,,,,
41.68,-6.976230241,-1.2826824,-0.009320642,-1.1319232, < -50,--,,,,,,,,,,
42.175,-6.975856838,-1.3305717,-0.009362712,-1.1599592, < -50,--,,,,,,,,,,
42.67,-6.977584596,-1.339116,-0.009405706,-1.1631453, < -50,--,,,,,,,,,,
43.165,-6.978813217,-1.3297267,-0.012345052,-1.1886252, < -50,--,,,,,,,,,,
43.66,-6.981178206,-1.3364743,-0.01220088,-1.1998913, < -50,--,,,,,,,,,,
44.155,-6.979265791,-1.351571,-0.012193141,-1.2201589, < -50,--,,,,,,,,,,
44.65,-6.978418681,-1.3684247,-0.007868436,-1.2428564, < -50,--,,,,,,,,,,
45.145,-6.977601998,-1.4030098,-0.010316123,-1.2359026, < -50,--,,,,,,,,,,
45.64,-6.977771079,-1.4130615,-0.011280281,-1.241592, < -50,--,,,,,,,,,,
46.135,-6.980212038,-1.455056,-0.010259648,-1.2853485, < -50,--,,,,,,,,,,
46.63,-6.979034722,-1.4424965,-0.010264403,-1.3011936, < -50,--,,,,,,,,,,
47.125,-6.977089923,-1.4650392,-0.010633277,-1.3080846, < -50,--,,,,,,,,,,
47.62,-6.977064461,-1.4771018,-0.013325577,-1.3142152, < -50,--,,,,,,,,,,
48.115,-6.977977453,-1.4779692,-0.011571598,-1.3356602, < -50,--,,,,,,,,,,
48.61,-6.980018546,-1.5097869,-0.010725308,-1.3481492, < -50,--,,,,,,,,,,
49.105,-6.982157467,-1.5206666,-0.015923591,-1.3587047, < -50,--,,,,,,,,,,
49.6,-6.975079627,-1.5467388,-0.01122069,-1.3831987, < -50,--,,,,,,,,,,
50.095,-6.979251543,-1.5460468,-0.014325574,-1.3773547, < -50,--,,,,,,,,,,
50.59,-6.979582504,-1.5715402,-0.011984253,-1.4186276, < -50,--,,,,,,,,,,
51.085,-6.980753564,-1.5783617,-0.011784637,-1.4084494, < -50,--,,,,,,,,,,
51.58,-6.97810922,-1.5947932,-0.010707316,-1.4355262, < -50,--,,,,,,,,,,
52.075,-6.978178436,-1.6099121,-0.014096545,-1.4322146, < -50,--,,,,,,,,,,
52.57,-6.97838388,-1.6104403,-0.012634534,-1.4543235, < -50,--,,,,,,,,,,
53.065,-6.979661316,-1.6860747,-0.013946132,-1.4435689, < -50,--,,,,,,,,,,
53.56,-6.983591261,-1.6366759,-0.009415737,-1.462735, < -50,--,,,,,,,,,,
54.055,-6.979563614,-1.6892698,-0.018479286,-1.5048976, < -50,--,,,,,,,,,,
54.55,-6.981378386,-1.6608981,-0.0169794,-1.493346, < -50,--,,,,,,,,,,
55.045,-6.985661922,-1.7008585,-0.022221502,-1.5410257, < -50,--,,,,,,,,,,
55.54,-6.980682466,-1.671318,-0.015931622,-1.4839337, < -50,--,,,,,,,,,,
56.035,-6.988140509,-1.7566293,-0.011313767,-1.5502133, < -50,--,,,,,,,,,,
56.53,-6.978895946,-1.7373552,-0.016005276,-1.5787951, < -50,--,,,,,,,,,,
57.025,-6.982492017,-1.7469177,-0.007978729,-1.5660332, < -50,--,,,,,,,,,,
57.52,-6.983961516,-1.7628688,-0.011699748,-1.5711845, < -50,--,,,,,,,,,,
58.015,-6.979095777,-1.7936112,-0.017598781,-1.5749385, < -50,--,,,,,,,,,,
58.51,-6.980470065,-1.7859981,-0.018405854,-1.622381, < -50,--,,,,,,,,,,
59.005,-6.980501266,-1.8329333,-0.019380424,-1.6406987, < -50,--,,,,,,,,,,
59.5,-6.985600769,-1.8367037,-0.020268336,-1.6575483, < -50,--,,,,,,,,,,
59.995,-6.989687478,-1.8702325,-0.022349752,-1.6555426, < -50,--,,,,,,,,,,
60.49,-6.98214986,-1.8310355,-0.015102589,-1.656919, < -50,--,,,,,,,,,,
60.985,-6.980299453,-1.8571803,-0.021586732,-1.661704, < -50,--,,,,,,,,,,
61.48,-6.982564449,-1.9027887,-0.008552887,-1.7360316, < -50,--,,,,,,,,,,
61.975,-6.979576417,-1.9071884,-0.015277087,-1.7252274, < -50,--,,,,,,,,,,
62.47,-6.980677108,-1.9120055,-0.010310938,-1.7792969, < -50,--,,,,,,,,,,
